민원 내용	담당부서
"부곡동 내성고등학교로 올라가는 입구에 위치한 신호등이 있는 건널목 부근에서 비가 많이 오면 빗물이 고여서 불편하다는 민원을 올린 후 빗물이 빠질 수 있는 구멍을 만들어 주셨습니다. 그런데 구멍 크기도 크기지만 모양 때문에 그 구멍에 비닐 같은 이물질이 쉽게 들어가고 그로 인해서 구멍이 쉽게 막힙니다. 그래서 막대기 같은걸로 구멍을 막고 있는 물질을 일일이 제거 해야 빗물이 내려 갑니다. 그래서 구멍의 모양을 다르게 고쳐주셨으면 합니다.
첫번째 첨부 사진은 구에서 만들어주신 구멍이고 두번째 사진은 기존에 있던 것입니다. 두번째 사진 처럼 만들어 주시면 안되나요? 어쨋든 개선이 필요할것 같습니다.

※ 첨부파일 :
11892044_918224461546755_7272516072123990531_n.jpg
11855754_918224478213420_6199989672036305319_n.jpg"	안전도시국 건설과
"수고많으십니다.
연일 무더운 여름이 지난 여름밤 직장을 마치고 집으로 가는 골목이 너무 어둡고 무서워 가끔 위협적인 느낌을 받기도 합니다
양쪽으로 집이 있기에 사람들이 지나가는 사람도 많고, 마을 버스 정류장도 있고, 서 1동 동사무소로 올라가는 길과 큰 길로 연결되는 길등 3군데의 연결고리가 되는 곳이긴 하지만, 저녁이 되면 어둡고 코너가 있어서 무서움을 느낍니다.
특히, 가로등이 나가는 날에는 그 두려움이 많이 생기기도 합니다.
얼마전 무더운 여름 날 아침 출근을 할려고 나서면 집 앞에 쓰레기 무단투기로 검은 봉지에 음식물찌꺼기들을 버리기고 가기도 하지만, 속수무책으로 저희가 치울 수 밖에 없는 상황도 발생합니다.
이에 더이상은 참지 못하고 쓰레기 무단투기 동사무소에 신고도 하였습니다.

지역 주민의 안전과 기초질서를 어지럽히는 일들에 대해서 추후 대처가 될 수 있도록 cctv 설치를 요청하는 바입니다.

※ 첨부파일 :
골목2.jpg
골목 1.jpg
골목사진 쓰레기.jpg"	복지경제국 자원순환과
"금정구 동부곡로27번길에 있는 가로등이 수달전부터 켜졌다 몇분후 꺼졌다를 반복하여 불편함이 계속되고 있습니다.

특히 야간 통행시 안전상의 위험이 수반되는 만큼 하루빨리 고쳐주셨으면 합니다."	복지경제국 자원순환과
"안녕하십니까? 저는 장전벽산블루밍 301동 주민입니다.
금정국민센타 차량소음과 출발시 차량배기가스로 생활하는데 너무 힘듭니다.
낮에는 문을 못 열어 놓겠습니다. 3월에 이사와서 지금까지 참다못해 이렇게 민원을 올립니다.
저희집은 3층이고 베란다 바로 앞에 정류장을 만들어 놓았네요.왜 이런집을 샀는지.
하루종일 집안에서 생활하고,저는 중요한 시험을 앞두고 있습니다.
아이 시험기간에도 스트레스 엄청 받았습니다.하루에도 수백대의 차들이 앞을 지나갑니다.
지나가는 차는 어쩔수 있나요? 하지만 정류소는 주민생활 침해입니다.
앞에서 기다리는 사람들도 시끄럽구요.제발 다른 장소로 이동해주세요.
문을 닫고만 살 수는 없고 앞으로는 계속 열어 놓아야 하는데요.
지난주 목요일에 국민체육센타와 통화를 했고 실사를 해보겠다는 말만 남겨서 부득이하게 다시 글을
올립니다.도시행정과에서 하시는 일이 아닌지요? 빠른 처리부탁드리겠습니다."	안전도시국 공원녹지과
"수고많으십니다. 저는 부산광역시에 살고 있는 외국인 거주자 입니다.
저는 금정구 바로 옆 동래구 명륜동에 살고있습니다.
온천장역 에서 집으로 오는길 중
부산광역시 금정구 부곡동 오시게로12번길
라는 길이 있는데

제가 지하철을 타러 갈때나, 지하철을 타고 돌아올때
큰길보다는 이 길을 이용하게 되는데, 주정차된 차량으로 길이 좁다보니 차량이 진입하면 항상 뒤에서 놀라게
차가 경적을 울려서 깜짝놀라서 주차된 차로 피하곤 합니다. 주행속도가 빠른 차량이 제 바로옆을 스쳐지나갈때 정말 놀라서 가슴이 두근거립니다.
불법 주정차된 차량이 없으면 길이 넓어서 이런 교통사고 위험이 없을텐데 차가 1대밖에 지나갈 공간이 없다보니 차가 2대가 서로 진입하면 피해갈 공간도없고 , 차가 1대만와도 사람이 불법주차된 차사이로 들어가서 숨어야합니다.
차보다 사람이 우선이되어야하는데 차가 사람을 위협해서 교통사고의 위험에 항상 노출되어있습니다.

이길에 불법주차 차량들을 빠른 조치를 해주세요 제가 교통사고위험에서 벗어날 수 있게

※ 첨부파일 :
크기변환_20150807_181038.jpg"	복지경제국 환경위생과
"집앞에 쌍용 예가 아파트가 생겼습니다.
이전에는 그냥 주택가였지요..골목길 집 앞이라 길옆에 주차도 하고..
아파트가 생긴 뒤 주차단속을 활발히 하시더군요.
뭐 불법주차 맞습니다.
그런데 아파트가 생겼단 이유로 근처에 주차장도 한 곳도 없는 곳에
저녁시간 아침시간 주말 공휴일 시도때도 없이 주차단속을 하시면 주차장 없는곳에 사는 구민들은 어떻하란 말입니까?
평일 대낮에 단속하시는건 말 안 합니다. 나머지 시간때는 유도리 있게 넘어가야 하는거 아닌가요?
주차장을 만들어 주세요.
주차비내고 주차 할 주차장도 없어요
제일 가까이 있는 주차장이 장전역 공영주차장입니다.
걸어서 15분거리..
그럼 저희는 어디 주차해야 하나요?
무조건 적인 단속을 아니라 봅니다.
그 지역이 교통이 혼잡한 지역도 아니고 어느정도 융통성있게 해 주세요..
정말 복잡한 지역...부산대학교앞이나 그런곳에서 하란말입니다.
그리고 근본적으로 주차를 문제 해결해 주세요.
그나마 하나 있던 주차장도 허물고 건물 올리고 있네요.
거주자 주차 구역이라도 만들어서 좀 해주세요..제발"	복지경제국 환경위생과
"무더위 속 공무에 수고가 많습니다.

건의할 내용은

금정체육공원 정문앞 큰다리 밑 홍법사 방향으로 20여 m 지점 수영강변에 있는 야외 운동기구중에서

양팔운동하는 기구의 끈이 다 떨어져 고장이 나 있습니다.
수리를 부탁 드립니다.

수고 하십시요."	복지경제국 자원순환과
"저는 1달 전에 부산시 금정구 수내2길 25번지로 이사를 온 세대주 입니다. 신축 주택에서 그 동안 살다 보니 여러가지 불편함이 있어서 건의를 드립니다.

1. 집 바로 앞 가로등 방향이 집 마당을 비추고 있어서 밤새 너무 환해서 잠을 자기가 쉽지 않습니다. 가로등의 방향만 길거리쪽으로 조정해주시면 골목길은 더 환하고 우리도 편히 잘수 잇습니다.

2. 수내2길 진입로부터 어두워서 청소년이 다니기에 위험합니다. 진입입구 버드나무집 근처에는 큰 도로가 있어서 도로를 비추는 가로등이 있어서 그나마 문제 없지만 10마터만 들어와도 어두워집니다. 확인 해보시고 추가 가로등 설치를 부탁 드립니다.

더운 여름에도 좋은 하루 되세요."	안전도시국 건설과
"부곡2동 대우아파트 주민입니다.
여름철이 되어 주간 보다는 야간활동이 많아지면서 야간에 온천천에서 운동을 하거나 산책을 하는 사람이 많아지는 것은 이해 합니다.
그런데 늦은 시간에 농구장을 이용하면서 울리는 소음은 주민들의 숙면에 지장을 주고 있습니다. 요즘 같이 더운 날은 모든 집이 문을 열고 생활하고 있습니다. 농구공이 바탁을 치면서 생기는 소리는 아파트 저층과 고층을 막론하고 야간에는 더욱 크게 들립니다. 농구공 팅기는 소리는 12시가 넘어서도 들리고 어떤날은 새벽에도 들립니다.
야간 농구공 소음에 대해서는 우리 아파트(특히 온천천 바로 옆에 위치한 동) 사람들은 엘리베이터에서 만나면 자주 이야기 하고 있습니다.
농구장에 10시 이후 이용하지 마라는 플랫카드가 붙어 있지만 지켜지지 않습니다. 10시 이후에 이용하지 않도록 관리해 주시기 바랍니다."	안전도시국 건축과
"남산동 금샘로, 남산성당 일대 도로에서 심한 악취 때문에 너무 괴롭습니다.
며칠 전, 어떤 분이 전자민원을 올렸던 것에 대한 구청의 답변 내용을 보니
뚜렷한 해결책이 없는 것 같은데,
지역 주민들은 계속 악취의 고통속에 지내란 말입니까?
답변 내용에 건설과와 청소행정과는 기존 시설에 대한 불가피함과 현재상황이 위법이 아니라 어쩔 수 없다라고 만하니, 정말 답답하기만 합니다.
금정구가 금정산을 끼고 있어 깨끗한 환경 속에 살기 좋은 동네라고 평소 생각하고 있는데,
이런 악취로 실망시키질 않았으면 합니다.

끝으로,
이건 민원과 관련하여 구청 해당 부서의 답변은 먼저 번의 민원에서 잘 알고있습니다.
따라서 저의 이번 민원 내용에 대한 답변은
'구청장님'으로 부터 직접 의견을 듣고 싶습니다.

항상 구민을 위해 수고해 주시는 여러분께 감사드립니다."	안전도시국 도시안전과
"온천천 농구장 소음이 괴롭습니다.
장전 지하철 부근 온천천에 두곳이나 만들어진 농구장 때문에 주변 주택 주민들이 소음에 시달리는 것은 하루 이틀의 일이 아닙니다. 주말에는 유흥가보다도 더 시끄러운 곳이 되었습니다. 최근에는 점점 더 심해져, 밤 12시가 되어도 그치지 않습니다.
대학 운동장보다도 더 좋은 조명 시설이 밤 10시에 꺼져도, 주변 불빛에 농구를 중단하지 않습니다. 그 사람들은 심야시간 절대이용금지 라는 현수막 앞에서 보란듯이 합니다. 말리려 가면, 그 사람들은 그 글자를 못봤다고 합니다. 참다못한 주민의 신고로 경찰이 출동하면, 비웃기라도 하듯 가고나면 또 다시 옵니다.
지난 주에는 새벽 1시 40분에 농구하는 사람이 있어 말려서 보냈더니, 이틀 후에는 새벽 2시에 농구하려 온 사람도 생겨났습니다.
출동한 경찰은 관리 책임이 구청에게 있기 때문에, 자신들은 해줄 수 있는 것이 없다고 합니다. 정말인가요?
그리고 구청에서는 이런 문제점을 해결하기 위해 어떤 조치들을 했습니까? 전형적인 책임 떠 넘기기 모습을 봅니다.
저는 금정구청 공무원들이 힘든 업무에 시달리다가도 퇴근후에는 집에서 편히 쉴 수 있기를 진심으로 바랍니다. 그러니 이곳 주민들도 밤잠을 편히 잘 수 있도록 금정구청에서 실질적인 조치를 취해줄 것을 요구합니다.
참고로 늦은 밤 농구공 소리가 어느 정도인지 알고 싶으면, 사무실 바닥에 농구공 한번 튕겨보면 됩니다."	안전도시국 건설과
"구서전철역 1,3번출구사이 인도에 입간판이 부분별하게 세워져 있어 마트에서 장을보고 짐을 들고 가다보면
마주하는 보행자와 부딪히는등 보행에 큰 불편을 겪고 있으니 단속 부탁 드립니다."	안전도시국 공원녹지과
"지난 주에에 민원을 올렸던 금정구민입니다. 구청의 답변이 민원에 대한 대책을 구체적으로 세우지 않고 경찰과 방범대원과 소음에 시달리는 주민에게 떠넘기려고만 하는 것 같아 다시 한번 구체적인 대책을 듣고자 합니다.
장전역 주변 온천천변에 설치되어 있는 농구대에서 밤 10시 이후 12시 넘어서까지 농구로 인한 소음이 너무 커서 대책을 세워달라는 질문을 올리고 어제 8월 3일 답변이 올라왔습니다. 답변을 기다리는 동안에도 여전이 밤 12시 넘어서까지 농구로 인한 공소리가 매우 컸고, 해서 여러번 장전지구대에 신고를 하였습니다. 신고가 있을 때에만 경찰관이 와서 농구를 못하게 하였고, 신고가 없을 때에는 새벽 2시 넘어서 까지 농구가 계속되었습니다.
그리고 단속을 철저히 하겠다는 금정구청의 답변이 있었던 어제도 역시나 12시까지 농구활동으로 인한 소음은 여전히 컸지만, 어떠한 단속도 없었기에 금정구청의 어제 올린 답변은 실천 의지는 없는 민원인 달래기용이 아닌가 의심됩니다. 금정구청의 이러한 민원에 대한 대책이 결국에는 이 지역을 상습민원구역으로 만드는 가장 큰 이유가 된다고 생각합니다.
농구장 주변은 분명히 밤 10시 이후의 농구활동은 과태료부과대상이라는 현수막이 걸려 있고, 그 주체는 금정구청장입니다.
지난 주 신고를 한 이후 출동한 경찰관에게 소음에 대한 고통을 호소하며 과태료 부과를 통한 단속을 부탁하자
매우 화를 내면서 과태료 부과는 금청구청의 일이라고 분명히 이야기하면서 금청구청에 요구를 하라고 하였습니다. 경찰은 신고가 들어오면 농구를 하는 사람들을 내보내는 일만을 할 수 있다고 이야기하였습니다.
제가 생각해도 경찰관의 말이 옳은 것 같습니다. 온천천변이라 하더라도 아파트가 밀집되어 있는 곳에 농구대를 금정구청에서 하였고, 이러한 시설에 대한 관리 및 대책도 금_구청의 일입니다. 하지만 금정구청은 설치만 하고, 이로 인한 문제 발생을 해결할 생각은 하지 않고 경찰과 방범대원, 그리고 금정구민에게 떠넘기고 있습니다.
매일밤 112에 신고를 해서 경찰들이 와서 문제를 해결한 이후 소음이 사라지는 것이 정상이라고 생각합니까?
농구를 하는 사람들만 금정구민이고, 그 소음에 괴로워하는 금정구민을 해결도 되지 않는 말로만 매번 달래면서 떠넘기는 금정구청의 행태에 매우 분노합니다.

금청구청은 이 지역이 상습민원지역이라고 하였고, 앞서 다른 구민들의 여러 번에 걸친 민원의 결과인지는 모르겠지만, 이미 농구대 주변의 가로등(특히 농구대를 위한 서치라이트까지)은 꺼져 있습니다. 지만 주변 도로의 불빛으로 농구대 주변은 여전히 환합니다. 그리고 경찰의 단속은 요청이 있지 않는 한 없습니다. 단속을 강화해주겠다는 어제도 밤 12시 넘어서까지 농구는 계속되었으니까요.

금정구청은 경찰과 방범대원, 그리고 금정구민들에게 농구대 소음에 대한 해결을 떠넘기지 말고 구체적으로 해결방안을 내놓아주십시요.
첫째, 농구대 옆 현수막의 내용처럼 밤 10시 이후 농구 활동에 대해 금정구청에서 직접 나와 과태료를 부과해주십시요. 농구대 주변 불법주차에 해야에 대해 주차단속이 이루어지는 것 처럼, 이 단속도 불가능한 일은 아니라고 생각합니다. 다만 과태료 부과로 인한 또다른 민원이 두려워서 금정구청이 하지 않을 뿐이지, 할 수 있는 일일 것입니다.
둘째, 밤 10시 이후 농구활동을 불가능하도록 농구대에 적절한 조치를 취해 주십시요. 농구대나 그 주변을 잠궈 놓으면 농구를 하고 싶어도 못할 것입니다.
셋째, 금정구청은 농구대 문제를 전혀 해결하지 않아서 이 지역을 상습민원구역으로 남겨놓지 마십시요. 구청에서는 민원에 대해 대충 실천할 의지도 없는 그리고 실천하지도 않는 말로 때우려 들지만, 이 지역에 사는 주민들은 밤에 잠을 잘 수가 없습니다. 농구를 하는 주민만 금정구민이라 생각하지 마시고, 잠 못 들어서 분노하는 이 지역의 금정구민에 대해서 충분히 납득할 수 있고, 실제 해결될 수 있는 방법을 취해주시길 바랍니다."	안전도시국 공원녹지과
"수고가 많으십니다.

일시 : 2015년 8월 1일 19시전후
장소 : 정관산업로 위 회동교차로와 개좌터널 중간지점
내용 : 도로위 기물(파편들)로 인한 차량 파손 보상

도로를 달리다가 갑자기 어떤 물체로 인하여 차량이 출렁거렸습니다.
그래서 조금 가다가 차를 대고 살펴보니,,,
타이어가 째져있고, 휠이 파손되어 있고, 왼쪽 뒤쪽문 아래쪽이 파손되어 있었습니다.
저 혼자가 아니라,,,4~5대 차량이 같은 원인으로 차량이 파손되어서 갓길에 대어져 있었습니다.
제가 갓길에 차를 대고 사고 원인지역으로 걸어가니깐,,,,
경찰이 와 있었습니다.
대략적인 설명을 하니깐,,,,어느 경찰분이 저의 인적사항과 차량정보를 적어갔습니다.
그래서 이름을 물어보니깐,,,,반석파출소라고만 대답 했습니다.
3일 지났는데 아무 연락이 없어서 이쪽으로 문의드립니다.
(정관산업로가 금정구에 포함)
그리고 어느쪽으로 보상신청을 해야 하는지 알려주시면 감사드리겠습니다.
도로관리 주체가 누구인지??? (지자체, 국가, 도로관리공단???)"	안전도시국 도시안전과
"지하철 장전역과 부산대역 사이에 있는 온천천 운동시설의 야간 사용에 관한 민원입니다.
요즘 폭염과 열대야로 대부분의 세대가 창문을 열고 자는데 새벽 2,3시까지 농구를 하는 공소리와 고함소리로 수면을 제대로 취하지 못하고 있습니다. 특히 인근 아파트는 세대수도 많을 뿐더러 고층이어서 농구공 탕탕 치는 소리가 야간에 울리면 잠자던 아기들이 놀라 깨어서 우는 날도 있습니다. 물론 구청에서는 야간 10시 이후에 운동시설 주변 가로등을 소등하고, 부산대지하철역 공영주차장 인근에 경찰차가 나와 있는 것을 몇번 목격한 적이 있습니다만, 새벽시간까지 농구를 한다든지 벤치에서 큰소리로 잡담을 한다든지 하는 사람들은 매일 있습니다.
좀 더 적극적이고 강력한 조치로 금정구민의 안락한 수면과 건강을 보장해 주시면 감사하겠습니다."	안전도시국 교통행정과
"금정산성로 지하공사장 도로에서 철구조물공사를 하고 있는데 소음 공해가 심하여 전화로 담당자에게 내용을 파악하여 줄것, 그리고 오전7시부터 공사를 하기때문에 금정구청에 전화를 하니 당직자 받아 이첩하여 처리하_다고 하였으나 처리기간이 경과되지 않아서 인지는 모르겠으나 공사는 계속하여소음발생시키고 있어 부득이 신청하오니 조치하여 주시고 다음사항에 대하여 답변도 부탁드림니다.
다 음
1.철구조물공사는 소음관계등 공해사항으로 주택지 도로변에서는 할 수없는 것으로 알고 있는 가능한 것인지?
2.철구조물공사를 엔제까지 할 것인지? 그리고 언제까지 하도록 할것인지?"	안전도시국 건설과
"귀 청의 무궁한 발전을 기원 합니다
1.화신골든맨션 4-1 도로 출입구 우수관 뚜껑 소음이 과다하여 주변 주택 아파트 숙면을 취할 수 없어
수차례 민원을 제기 했으나 임시 방편으로 구청에서 보수를 하여 근본적인 보수를 부탁드립니다
2.도서관로 13번지 화신아파트입구 도로 협소한데 주변에 무단으로 주차를 하여 사고가 계속 발생하고
있으니 대책을 세워 주시기 바랍니다
3.도서관로 도서관.영럭공원 이용객 등. 협소한데 인도에 꽃집 정리를 귀 청에 수차례 민원을 제기했으나
시정되지 않고 있습니다 귀 청에서 대책을 세워 주시기 바랍니다

첨부 사진 (4매

※ 첨부파일 :
SV400011.JPG
SV400010.JPG
SV400012.JPG"	안전도시국 교통행정과
"안녕하세요?

장전~부산대 온천천구간에 농구장 펜스를 호우시 시설물보호를위해

철거하였던데. 농구하는 아이들이 공을 물에 빠뜨리지 않으려고 급히 공을 쫓다가

넘어져 다치거나 산책중인 주민과 충돌하는 상황이 종종발생합니다.

펜스의 철망이 호우시 시설물을 훼손할 가능성이 있다면, 그물망이라도 설치해주세요

신속한 처리 부탁합니다. 너무위험하네요."	행정지원국 총무과
"부곡3동 주민입니다. 장전역 아래 온천천에 설치되어 있는 농구대에서 매일밤 늦게까지 하는 농구활동 때문에 잠을 잘 수 없습니다. 아침이나 낮시간은 자유롭게 이용하는 것이 지극히 당연하지만 밤 10시 이후의 활동은 자제해야 하며, 금정구청에서 적절한 단속과 통제가 이루어져야 한다고 생각합니다.
농구대 앞에는 10시 이후의 농구활동은 과태료 부과 대상이라는 현수막이 걸려 있음에도 불구하고 농구를 하는 사람들은 개의치 않습니다. 요즘 같은 여름밤에는 늦은 밤 11시는 물론이고 12시 넘어서 새벽 1시까지 농구공 치는 소리가 들려옵니다.
금정구청은 시설물 설치 및 관리의 책임이 있다고 생각합니다. 잠을 잘 수 없는 주민들이 민원제기나 이의제기를 고민하지 않도록 현실적이고 구체적인 대책을 세워주셨으면 합니다."	행정지원국 총무과
"부곡초등학교, 금양중학교, 부산사대부고 학생들이 안전하게 학교 다닐 수 있도록 인도를 확보해주십시오
확장될 수 없는 좁은길에 오르내리는 차량에 파여진 도로에 수많은 학생들이 차량들을 피해가며 위험하게 다니고 있습니다.
페인트로 표시라도 해주셨으면 좋겠습니다."	안전도시국 건축과
"금정산을 관리 하신다고 수고가 많으십니다
금정산성 금정산 통합 관리소옆 에어콤프레샤 에서 에어와 함께 물이 품어져 나옵니다
에어와 물을 분리시키는 장치가 없어면 설치를 해주시고 에어건도 증설 시켜 주시면 고맙겠읍니다
그리고 남문을 지나 초읍 방향 으로 있는 화장실에 변기물도 안나옵디다
확인하여 주시고 관리의 고마움에 다시 한번 감사 인사 드립니다
수고 하십시요."	안전도시국 건축과
"대동대학 인근 아파트에 살고 있는 주민입니다.
요 몇 달 전쯤 부터인가 산(윤산) 쪽에서 악기 소리가 들립니다. 오늘만 해도 1시간 악기 소리가 들립니다. 아파트 동 라인 엘리베이터 게시판에도 악기 소음에 관한 글이 올라와 있습니다.
대동대학에서 부곡암으로 가는 길(도보로 짧은 차도를 건너)로 산을 올랐을 때 산 쪽에서 그 악기 소리가 들립니다.
주위에 학교, 아파트가 있음에도 불구하고 주위 환경을 둘러보지 않은 채 악기 소리를 내어 피해받는 주민이 없었으면 좋겠습니다."	복지경제국 일자리경제과
"사진3장 첨부합니다 잘보시구요
각각 전부 다른차량이구요
단속좀 부탁드림니다

사거리 출입구쪽으로 저렇게 주차되어있습니다

위쪽에주차 되어있음 그냥 융통서있게 피해라도 가지만 내려오는 차 한대있어도
입구부터 저렇게 막으면 방법이 없습니다 부곡로 까지 진행 피해가 갑니다

한동안 뜸하더니
또 요즘 상식이 없는 이기적인 주차를 자주 하네요
익수건설사쪽 의심되는 차량은 구청에서 따로 주의좀 부탁드림니다

※ 첨부파일 :
20150719_113949.jpg
20150718_133003.jpg
20150719_151753.jpg"	안전도시국 건축과
"수고많으십니다..
한달전 도로파손 부분으로 민원을 넣어 보수공사를 해주신다는 확답을 받았습니다..
그런데 담당자분이 처리하는데 한달까지 안걸린다 하셨는데 아직 공사가 이루어지지않아 제가 일일이 현장방문이나 전화가 번거로워 이렇게 글올립니다.. 빠른답변과 처리부탁드리겠습니다..
수고하세요...

※ 첨부파일 :
IMG_0902.JPG
IMG_0901.JPG"	안전도시국 건축과
"날씨도 점점 더워지는데 노고가 많으십니다.

동현중학교에서 서동고개로 올라가는 인도 건널목에 주차를 해 놓아서
차를 피해 다시 찻길로 나가야 하는 불편함 있습니다.

사진에 보면 지금은 건널목에 장애물이 하나 있어서 주차를 하지 않아
공간이 있어 찻길로 나가지 않고 지나 갈 수 있지만
사람이 지나 가도록 만든 길에 차가 있어서 피해 다니면 인도를 만든 의미가 없다고 봅니다.

건널목에는 주차를 하지 못하도록 조치를 해주십시오.

그럼 수고하십시오.

※ 첨부파일 :
IMG_0179.JPG
IMG_0171.JPG
IMG_0205.JPG"	안전도시국 건축과
"구정에 힘쓰시느라 노고가 많으십니다.

이전 민원으로 청룡동 도로 무단 굴착을 신고하였으나 건설과의 답변과 달리 원상복구 조치가 이루어지지 않고 있어 글 올립니다.

해당위치는 도로와 사유지 경계에 위치한 부분으로 건설과 담당자는 전화로 명백한 사유지임을 확신할 수 없다고 하셨으나 객관적 근거 제시없이 답변은 사유지임을 언급하셨습니다. 참고하겠습니다.

민원사무편람에서 3년내 신규 개설한 도로는 굴착허가제한구역으로 명기되어 있습니다. 국공유지/사유지를 떠나 일단 도로로 사용되는 지역이 허가 없이 위법 행위가 이루어졌으면 행위자에게 위법이 아니라는 입증 책임을 물어야 하는 것이 상식적인 것 같으나 건설과에서는 불편을 신고한 민원인에게 입증하려면 하라고 되묻습니다. 건설과에서 굴착 행위자는 해당 사안과 무관한 제3자로 생각하시는 것 같습니다. 아시다 시피 굴착행위자는 해당토지 소유주도 아닙니다.

해당위치 포장 당시 470번지 소유주의 권리행사로 사용도로를 점거, 통행을 제지하여 주민 편의를 위해 건설과에서 신규 도로포장을 했는데 이제는 건설과에서 사유지라며 투입된 국민 예산에 대한 모든 권리를 포기하고 있습니다. 만약 사유지라면 해당위치 포장은 기증이나 기부인가요?

건설과에서 어떻게 조속히 복구토록 지시하셨는지 아직도 원상복구 되지 않고 있네요. 참고하시기 바랍니다.

감사합니다.

첨부. 민원(목록번호 14127) 답변

※ 첨부파일 :
eminwon.geumjeong.go1.pdf"	안전도시국 건축과
"수고 많으십니다.

다름이 아니오라 최근 안뜰로 주변(첨부 그림 확인)에 밤에 가로등이 켜지지 않아

주변이 너무 어두워 불편합니다. 빠른시일내에 가로등을 정비해 주시기 바라오며

덧붙여 안뜰로 주변 곡각지에 야간 불법 주정차로 인해 통행에 많이 불편합니다.

안뜰교 위 및 곡각지에는 주차가 되지 않도록 계도 바랍니다.

※ 첨부파일 :
minwon.jpg"	안전도시국 교통행정과
"지난해 폭우로인하여 180cm침수되었던 구서2동183-6번지에위치한 명성크리닝 직원입니다 작년에신속한 자원봉사자 보내주셔서 많은도움 되었습니다 오늘 동사무소직원3명 방문해서 점검 해주신것 감사드리며 한말씀 올립니다 만약 올해 또다시 폭우가 내린다면 두실역7번출구가는도로에 차단막을 설치해주시기를 바랍니다 일단물이 밀려내려오면 양수기로 퍼내도 이미 늦어서 피해가 바로 발생해버립니다
지난해에 동장님이 직원분들 많이 고마웠습니다"	안전도시국 교통행정과
"부산대~장전간 농구장 바닥이 헤어져서 아주 미끄럽습니다.
점프를 많이하는 운동이라 큰 부상으로 이어질것 같습니다
그리고 바닥에 대리석이 보일정도로 헤어져서 더더욱 부상이 염려스럽습니다
우레탄 보수를 부탁드리며 농구장 그물도 처리해 주십시오"	안전도시국 건설과
